景区名称,评论日期,评论内容,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,景区编号,emotional_value,index,情感等级
A13,2020-07-05,好大，好美，设计风格独特！干净。面对大海心情广阔。大小设施尽享其中,1.0,0.251800000667572,"风景, 表演, 值得, 一般般, 位于, 晚上, 好看, 建筑, 美丽, 大自然","['美', '设计', '风格', '独特', '干净', '面对', '大海', '心情', '广阔', '大小', '设施', '享']",服务,13,2.0,37033,3
A13,2020-09-30,今天在温泉中心颐养轩餐厅吃饭，我觉得这边的服务员C1192服务态度很好，还提供了宝宝餐具及宝宝座椅，感觉很温馨也很贴心，餐厅菜品也很好吃。,3.0,0.4821000099182129,"走, 高, 性价比, 免费, 太, 坐, 建议, 观音, 开车, 感觉","['温泉', '中心', '颐养', '轩', '餐厅', '吃饭', '服务员', '服务态度', '提供', '宝宝', '餐具', '宝宝', '座椅', '感觉', '温馨', '贴心', '餐厅', '菜品', '好吃']",性价比,13,2.0,37034,3
A13,2020-03-30,非常美丽的可以一边泡温泉，一边看海的温泉，如果碰到天气好，可以看到落日，里面有各式的温泉池，按摩师技术也很不错，下次还会再来,5.0,0.3097999989986419,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['美丽', '泡温泉', '海', '温泉', '碰到', '天气', '落日', '温泉', '按摩师', '技术', '下次']",服务,13,1.0,37035,2
A13,2020-10-24,非常舒服，身心愉悦，太棒,6.0,0.5192000269889832,"上山, 广东, 导游, 山顶, 时, 走, 到达, 两个, 下午, 坐","['舒服', '身心', '愉悦', '太棒']",服务,13,2.0,37036,3
A13,2020-01-04,**温泉的服务很好，玩的挺开心的。 现在门票比较划算，园内的小吃都是下午才开， 玩到下午的朋友们可以尝一下。,5.0,0.3300999999046325,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['温泉', '服务', '开心', '划算', '园内', '小吃', '下午', '开', '下午', '朋友', '尝']",服务,13,1.0,37037,2
A13,2020-07-07,【景色】【趣味】环境特别漂亮，还有好玩的泡泡秀，和亲亲鱼也很好玩，痒痒的感觉，谢谢工号2399给我们推荐了亲亲鱼，还送上温暖的热茶，还提醒我们活动的时间，很热情热心，给这个工号好评！还会再来！,5.0,0.2081000059843063,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['景色', '趣味', '环境', '特别', '漂亮', '好玩', '泡泡', '秀', '亲亲', '鱼', '好玩', '痒痒', '感觉', '谢谢', '工号', '推荐', '亲亲', '鱼', '送', '温暖', '热茶', '提醒', '活动', '热情', '热心', '工号', '好评']",服务,13,8.0,37038,5
A13,2020-01-03,环境特别好，运气好的话傍晚还能看到日落晚霞，里面区域特别大，幸好有c2366小姐姐全程带我们去玩，给我们介绍了中药池，还给我们敷牛奶面膜，是用纯牛奶现敷的哦，又给我们送茶水换干毛巾的，体验非常棒！,6.0,0.399399995803833,"上山, 广东, 导游, 山顶, 时, 走, 到达, 两个, 下午, 坐","['环境', '特别', '运气', '傍晚', '日落', '晚霞', '区域', '特别', '幸好', '小姐姐', '全程', '介绍', '中药', '还给', '敷', '牛奶', '面膜', '纯牛奶', '现', '敷', '送', '茶水', '换', '干', '毛巾', '体验', '棒']",服务,13,2.0,37039,3
A13,2020-03-07,海洋温泉景美区域大，池多水净温度好，多种加料养生汤，无边温泉天海连线，温泉必选**，此行特别感谢大堂员工c2008，待人热情服务好，讲解清晰有耐心，棒棒地,5.0,0.2804999947547912,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['海洋', '温泉', '景美', '区域', '池多水', '净', '温度', '多种', '加料', '养生', '汤', '无边', '温泉', '天海', '连线', '温泉', '必选', '此行', '特别感谢', '员工', '待人', '热情服务', '讲解', '清晰', '耐心', '棒棒']",服务,13,1.0,37040,2
A13,2020-03-07,海洋温泉景美、水滑、服务棒，配套设施一应全，此时浸泡好时段池多水清可任选，此行特别感谢大堂员工c2008，对人热情友善，介绍清楚，服务棒棒地,5.0,0.3102999925613403,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['海洋', '温泉', '景美', '水滑', '服务', '棒', '配套', '设施', '一应', '全', '浸泡', '时段', '池多水', '清', '任选', '此行', '特别感谢', '员工', '热情', '友善', '介绍', '服务', '棒棒']",服务,13,2.0,37041,3
A13,2020-12-21,海洋温泉池多水净温度好，景色宜人，无边温泉简直是拍照好地方，温泉必选**，此行特别感谢温泉现地员工c1258号，待人热情服务好，讲解清晰有耐心，五星好评！下次再来！,5.0,0.401199996471405,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['海洋', '温泉', '池多水', '净', '温度', '景色宜人', '无边', '温泉', '拍照', '温泉', '必选', '此行', '特别感谢', '温泉', '现', '员工', '号', '待人', '热情服务', '讲解', '清晰', '耐心', '五星', '好评', '下次']",服务,13,1.0,37042,2
A13,2020-03-02,特点是面朝大海，一边泡温泉一边观海景。池子也有许多特色和设计，虽然不是特别干净，设施有陈旧感，就这个价位来说，也还可以。,0.0,0.4666000008583069,"值得, 适合, 环境, 干净, 休闲, 公园, 空气清新, 瀑布, 水, 很漂亮","['面朝', '大海', '泡温泉', '观', '海景', '池子', '特色', '设计', '特别', '干净', '设施', '陈旧', '感', '价位']",卫生,13,1.0,37043,2
A13,2020-06-01,菜式精美，味道超赞喔！工号C3033服务很周到很贴心,5.0,0.7253000140190125,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['菜式', '精美', '味道', '超赞', '喔', '工号', '服务', '周到', '贴心']",服务,13,2.0,37044,3
A13,2020-12-10,前台c1247的服务员态度很好，主动心细，很不错(*`)一家人来泡泡温泉挺不错的，很棒！,5.0,0.5041000247001648,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['服务员', '态度', '主动', '心细', '泡泡', '温泉', '挺不错', '很棒']",服务,13,2.0,37045,3
A13,2020-09-10,去了不下十次了，每次都玩得开心，景美环境好,10.0,0.7692999839782715,"喜欢, 下次, 漂亮, 朋友, 值得, 去过, 机会, 字, 开心, 风景优美","['十次', '每次', '开心', '景美', '环境']",位置,13,1.0,37046,2
A13,2020-05-28,装修风格比较多元化，泡着也很舒服吃的东西也比较多，就是味道一般般，晚上还有烟花汇演活动，很适合在周末和节假日带上家人一起,7.0,0.2951000034809112,"环境, 贵, 很好, 没什么, 吃, 东西, 太, 差, 感觉, 风景","['装修', '风格', '多元化', '舒服', '吃', '东西', '味道', '一般般', '晚上', '烟花', '汇演', '活动', '适合', '周末', '节假日', '带上', '家人']",性价比,13,1.0,37047,2
A13,2020-02-16,论泡温泉还是不如**，**更适合和小孩子亲子玩乐。环境还是可以的，适合拍照，还有免费茶水饮料水果供应，很赞！只是温泉一般。,0.0,0.5254999995231628,"值得, 适合, 环境, 干净, 休闲, 公园, 空气清新, 瀑布, 水, 很漂亮","['泡温泉', '适合', '亲子', '玩乐', '环境', '适合', '拍照', '免费', '茶水', '饮料', '水果', '供应', '赞', '温泉']",卫生,13,3.0,37048,4
A13,2020-12-05,好，好，好，好，好，真的是太好了,9.0,0.692300021648407,"山, 爬山, 好多, 希望, 太, 美的, 钱, 水, 骑, 活动","['真的', '太好了']",设施,13,1.0,37049,2
A13,2020-11-23,超级舒服  下次肯定还去  水果茶饮都有！！！,2.0,0.6686999797821045,"好玩, 开心, 太, 天气, 项目, 特别, 舒服, 夏天, 热, 风景","['超级', '舒服', '下次', '肯定', '水果', '茶饮']",设施,13,2.0,37050,3
A13,2020-10-02,温泉很好 更衣室小姐姐c1250主动帮忙找柜子 服务很贴心 到位 有什么问题就帮我们解决 二楼有免费水果 推荐,5.0,0.6301000118255615,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['温泉', '更衣室', '小姐姐', '主动', '帮忙', '找', '柜子', '服务', '贴心', '到位', '帮', '解决', '二楼', '免费', '水果', '推荐']",服务,13,4.0,37051,4
A13,2020-11-22,c2366服务好，环境不错！,5.0,0.3677999973297119,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['服务', '环境']",服务,13,2.0000000000000004,37052,3
A13,2020-01-21,非常舒服的温泉，每年都会来这里泡几次，环境好有吃有玩，还推荐外地的朋友也来**，大家都很满意。F042服务态度热情，非常感谢她，下次来还会来找她，感谢了！,5.0,0.3880999982357025,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['舒服', '温泉', '几次', '环境', '吃', '推荐', '外地', '朋友', '满意', '服务态度', '热情', '非常感谢', '下次', '找', '感谢']",服务,13,5.0,37053,5
A13,2020-12-21,c1258服务员特别好，及时送水。耐心回答问题！,5.0,0.8154000043869019,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['服务员', '特别', '送水', '耐心', '回答']",服务,13,1.0,37054,2
A13,2020-11-17,C2383的服務員特度很好,7.0,0.5385000109672546,"环境, 贵, 很好, 没什么, 吃, 东西, 太, 差, 感觉, 风景","['服務員', '特度', '很好']",性价比,13,2.0000000000000004,37055,3
A13,2020-09-14,温泉超级赞  更衣室小姐姐c1250主动帮忙找柜子 讲解泡温泉事项 很贴心 二楼有免费水果 值得推荐,5.0,0.6984999775886536,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['温泉', '超级', '赞', '更衣室', '小姐姐', '主动', '帮忙', '找', '柜子', '讲解', '泡温泉', '事项', '贴心', '二楼', '免费', '水果', '值得', '推荐']",服务,13,4.0,37056,4
A13,2020-12-13,第一次带宝宝来珠海玩，环境还不错，服务员很友好，在这边餐厅就餐，C1191服务的很好。,10.0,0.2890999913215637,"喜欢, 下次, 漂亮, 朋友, 值得, 去过, 机会, 字, 开心, 风景优美","['第一次', '宝宝', '珠海', '环境', '服务员', '友好', '餐厅', '就餐', '服务', '很好']",位置,13,1.0,37057,2
A13,2020-08-19,温泉区风景好 更衣室小姐姐c1250主动帮忙找柜子  服务特别好 二楼有免费水果 非常感谢 强烈好评,5.0,0.5931000113487244,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['温泉', '区', '风景', '更衣室', '小姐姐', '主动', '帮忙', '找', '柜子', '服务', '特别', '二楼', '免费', '水果', '非常感谢', '好评']",服务,13,3.0,37058,4
A13,2020-02-01,很好的一次享受，值得下次再来，,1.0,0.3066000044345855,"风景, 表演, 值得, 一般般, 位于, 晚上, 好看, 建筑, 美丽, 大自然","['很好', '享受', '值得', '下次']",服务,13,2.0,37059,3
A13,2020-10-03,非常好。服务很好，很好玩,2.0,0.3589999973773956,"好玩, 开心, 太, 天气, 项目, 特别, 舒服, 夏天, 热, 风景","['服务', '好玩']",设施,13,2.0000000000000004,37060,3
A13,2020-11-09,c1258服务很好哦！讲解很好！,5.0,0.692300021648407,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['服务', '讲解']",服务,13,2.0000000000000004,37061,3
A13,2020-07-27,温泉环境很棒，面朝大海，有各式各样有特色的温泉池，工作人员的服务都很热情，始终面带微笑，耐心解答，特别感谢服务员c4011,5.0,0.522599995136261,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['温泉', '环境', '很棒', '面朝', '大海', '各式各样', '特色', '温泉', '工作人员', '服务', '热情', '始终', '面带微笑', '耐心', '解答', '特别感谢', '服务员']",服务,13,3.0,37062,4
A13,2020-10-06,**风景优美，温泉区很棒，在颐养轩的菜品很棒，C3125服务态度很好，介绍到位，点赞。,5.0,0.6947000026702881,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['风景优美', '温泉', '区', '很棒', '颐养', '轩', '菜品', '很棒', '服务态度', '介绍', '到位', '赞']",服务,13,2.0,37063,3
A13,2020-07-09,已经多次来温泉玩，c1083工作人员兢兢业业服务态度十分好，对老人家讲解到位耐心热情，就是要有这种服务态度。介绍泡的园林温泉环境好，中草药味很浓，喜欢,5.0,0.5647000074386597,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['温泉', '工作人员', '兢兢业业', '服务态度', '老人家', '讲解', '到位', '耐心', '热情', '服务态度', '介绍', '园林', '温泉', '环境', '中草药', '味', '很浓', '喜欢']",服务,13,2.0,37064,3
A13,2020-08-19,服务态度很好！c4011,5.0,0.5385000109672546,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度",['服务态度'],服务,13,2.0000000000000004,37065,3
A13,2020-09-11,环境不错，前台c2022服务态度挺好的，温泉环境挺好的区域挺大的，下次会再来,5.0,0.401199996471405,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['环境', '服务态度', '温泉', '环境', '区域', '挺大', '下次']",服务,13,2.0000000000000004,37066,3
A13,2020-07-05,珠海**海洋温泉是一个纯天然海洋温泉这里的水清澈见底！有室内和室外！是没有很多特色的馆！有纯盐度的死海浴！来这里可以好好的给你自己的身体消消毒杀杀菌！真的很爽！,12.0,0.228300005197525,"动物, 爬, 岛, 沙滩, 天然, 氧吧, 表演, 广州, 动物园, 种类","['珠海', '海洋', '温泉', '纯天然', '海洋', '温泉', '水', '清澈见底', '室内', '室外', '特色', '馆', '有纯', '盐度', '死海', '浴', '好好', '身体', '消', '消毒', '杀', '杀菌', '真的', '很爽']",设施,13,2.0,37067,3
A13,2020-05-12,又要感受良好，服务热情，风景漂亮。吃的好吃，口味好，性价比相对较高。运动俱乐部D2190服务态度好，玩的开心！,5.0,0.2487999945878982,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['感受', '服务', '热情', '风景', '漂亮', '吃', '好吃', '口味', '性价比', '高', '运动', '俱乐部', '服务态度', '开心']",服务,13,4.0,37068,4
A13,2020-08-17,服务态度好，环境优美!谢谢c4011!,0.0,0.2693000137805938,"值得, 适合, 环境, 干净, 休闲, 公园, 空气清新, 瀑布, 水, 很漂亮","['服务态度', '环境优美', '谢谢']",卫生,13,1.0,37069,2
A13,2020-09-16,第一次来**，感觉风景不错，小朋友玩得也开心，美中不足就是卫生太差！,7.0,0.2908999919891357,"环境, 贵, 很好, 没什么, 吃, 东西, 太, 差, 感觉, 风景","['第一次', '感觉', '风景', '开心', '美中不足', '卫生', '太', '差']",性价比,13,2.0,37070,3
A13,2020-09-21,温泉区不错 更衣室小姐姐c1250主动帮忙找柜子 服务很好 二楼有免费水果 推荐,5.0,0.6166999936103821,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['温泉', '区', '更衣室', '小姐姐', '主动', '帮忙', '找', '柜子', '服务', '二楼', '免费', '水果', '推荐']",服务,13,3.0,37071,4
A13,2020-06-02,体验很好，二楼有免费水果吃，池子很干净，服务也好，工号c2399还提供茶水服务，见我毛巾湿了还主动送来干净毛巾，很贴心，好评！！！,5.0,0.435699999332428,"温泉, 服务, 服务态度, 满意, 泡温泉, 热情, 家人, 工作人员, 方便快捷, 态度","['体验', '二楼', '免费', '水果', '吃', '池子', '干净', '服务', '工号', '提供', '茶水', '服务', '毛巾', '湿', '主动', '送来', '干净', '毛巾', '贴心', '好评']",服务,13,2.0,37072,3
A13,2020-12-16,非常好，入园很方便，温泉效果很好！前台小哥还赠送了停车票！,6.0,0.4052999913692474,"上山, 广东, 导游, 山顶, 时, 走, 到达, 两个, 下午, 坐","['入园', '温泉', '效果', '小哥', '赠送', '了停', '车票']",服务,13,2.0000000000000004,37073,3
