Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.7856000065803528,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['适合', '家庭', '出行']"
1,0.0,0.8565000295639038,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['升级', '房间', '延迟', '退房', '赞']"
2,2.0,0.5995000004768372,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['几年', '广州', '每次', '住', '位置', '性价比', '不错', '免费', '升级', '房间']"
3,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
4,4.0,0.5070000290870667,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['超', '五星', '好评']"
5,1.0,0.7856000065803528,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['干净', '卫生', '服务']"
6,2.0,0.9142000079154968,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['位置', '传统', '标准', '五星', '唯一', '遗憾', '浴室', '浴缸', '淋浴间']"
7,2.0,0.8773999810218811,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['酒店设施', '稍微', '旧', '地理位置', '确实', '优越']"
8,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
9,1.0,0.6126000285148621,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['地理位置', '房间', '干净', '整洁']"
10,6.0,0.4510999917984009,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['地理位置', '地铁口', '米', '服务态度', '棒', '管理', '不断进步', '中', '下次', '入住', '点', '赞']"
11,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
12,2.0,0.6772000193595886,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['距离', '广州东站', '接送', '客人', '价格合理', '接受', '早餐', '不错', '吃', '好吃', '品种齐全', '适合', '老幼', '妇孺', '自行', '选择', '食用']"
13,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
14,5.0,0.7376999855041504,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['性价比', '高', '早餐', '品种', '面包', '种类', '地铁']"
15,2.0,0.4918999969959259,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['广州东站', '地铁站', '吃饭', '性价比', '不错', '推荐', '入住', '广州东站', '地铁站', '吃饭', '性价比', '不错', '推荐', '入住']"
16,1.0,0.7135000228881836,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['房间', '服务']"
17,3.0,0.7853000164031982,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['住', '性价比', '高']"
18,2.0,0.7141000032424927,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['广州东站', '旁边']"
19,1.0,0.571399986743927,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住",['卫生']
20,1.0,0.7849000096321106,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['地点', '佳', '服务']"
21,5.0,0.7139000296592712,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '服务']"
22,0.0,0.4221999943256378,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['早茶', '不错']"
23,5.0,0.8284000158309937,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['性价比', '高', '不错', '服务']"
24,2.0,0.8274000287055969,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['出差', '火车站', '对面', '服务']"
25,5.0,0.5210999846458435,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '挺不错', '环境']"
26,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
27,5.0,0.8098999857902527,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['朝食', '美味', '地下', '安心', '宿泊思', '広', '州', '張', '時', '宿', '頂']"
28,5.0,0.6201000213623047,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['交通', '位置', '便利', '购物', '吃']"
29,5.0,0.4717000126838684,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '住', '几天', '性价比', '高', '推荐']"
30,2.0,0.47999998927116394,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['格调', '温馨', '电梯', '楼层', '设计', '服务到位']"
31,5.0,0.828499972820282,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['早餐', '不错', '交通', '便利']"
32,5.0,0.5774000287055969,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['早餐', '不错', '出行']"
33,2.0,0.4090999960899353,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['不错', '地理位置']"
34,5.0,0.7854999899864197,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '环境', '不错']"
35,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
36,5.0,0.6348999738693237,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['位置', '步行', '几分钟', '广州东站', '早餐', '不错', '房间', '设施', '不错', '安静', '书桌', '适合', '工作', '服务员', '热情', '房间', '清理', '很好']"
37,5.0,0.7856000065803528,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '性价比', '高']"
38,2.0,0.9625999927520752,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['每次', '广州', '入住', '设施', '旧', '位置', '市中心', '周边', '热闹', '房间', '简洁', '干净', '住', '习惯', '吸引', '早餐', '精致', '终于', '打卡', '桑拿房', '不错', '体验']"
39,5.0,0.7851999998092651,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['整体', '感觉', '不错']"
40,4.0,0.3828999996185303,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['好评', '地理位置']"
41,3.0,0.8277999758720398,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['配不上', '五星级', '感觉', '骗']"
42,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
43,5.0,0.5713000297546387,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高",['交通']
44,5.0,0.7008000016212463,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['交通', '利']"
45,2.0,0.7853000164031982,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['火车', '东站', '位置']"
46,5.0,0.4284000098705292,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['讲', '真', '浴缸', '吹风机', '喜欢', '装修', '浴缸', '拆']"
47,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
48,1.0,0.7853000164031982,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['地点', '服务', '贴心']"
49,4.0,0.5374000072479248,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['时尚', '适合', '商务人士']"
50,5.0,0.6326000094413757,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['房间', '卫生间', '设施', '差', '点', '特别', '快捷酒店', '房间', '装修', '算', '舒适', '特别', '旧', '霉味', '太重', '走出', '电梯', '闻到', '房间', '特别', '服务', '还行', '笑脸相迎', '早餐', '不错', '中式', '西式', '几样', '早餐']"
51,5.0,0.7854999899864197,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['交通', '服务', '一流']"
52,2.0,0.9387000203132629,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['坐', '高铁', '步行', '米', '广州东站', '出行', '设施', '出行', '住', '合适', '周边', '购物', '吃饭']"
53,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
54,2.0,0.8804000020027161,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['想', '游泳', '女性', '規定', '戴', '泳帽', '不太好']"
55,5.0,0.7141000032424927,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['环境', '位置']"
