景区名称,评论日期,评论内容,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,景区编号,emotional_value,index,情感等级
A26,2020-04-20,You can only get your ticket at 馬降龍，立園 and 自立村. The traffic was not convenient at all. Shuttle bus are only available for the abovementioned sites but not the rest of another two sites included in the full ticket. You  have to take a local bus yourself to these two sites.,11.0,0.3589999973773956,"景色, 美, 感觉, 山上, 值得, 中, 优美, 拍, 交通, 少","['馬降龍', '立園', '自立', '村', '....']",位置,26,1.0,48889,2
A26,2020-02-26,时隔十多年后再次走进**，楼还是那样的楼，人早已不是那时的人！每一个楼主、每一个侨胞，身后何尝不是一段艰辛、甚至血汗的历程！今天强大的你是因为以前努力的你！,3.0,0.6348999738693237,"走, 高, 性价比, 免费, 太, 坐, 建议, 观音, 开车, 感觉","['时隔', '十多年', '走进', '楼', '楼', '早已', '楼主', '侨胞', '身后', '一段', '艰辛', '血汗', '历程', '强大', '是因为', '努力']",性价比,26,2.0,48890,4
A26,2020-05-02,内部还可以，但是开放的三座**实际只开了两座，陈列馆也没开。内部唯一开放的两座楼还能马马虎虎看看，但是感觉不值票价。周围的村子里到处都是**，只是有其他民居遮挡，没有这么开阔罢了。游客服务中心旁边的餐厅尽量不要去吃了，传说中的黑店，价格贵就不说了，付了牛肉煲仔饭的钱(30)，里边的肉片就是猪肉做的。甜品也是咪咪小，比料碟深一点而已，就要13。,3.0,0.376800000667572,"走, 高, 性价比, 免费, 太, 坐, 建议, 观音, 开车, 感觉","['内部', '开放', '三座', '开', '两座', '陈列馆', '没开', '内部', '唯一', '开放', '两座', '楼', '马马虎虎', '感觉', '不值', '票价', '村子', '民居', '遮挡', '开阔', '游客', '服务中心', '旁边', '餐厅', '吃', '中', '黑店', '价格', '贵', '付', '牛肉', '煲仔饭', '钱', '里边', '肉片', '猪肉', '做', '甜品', '咪咪', '比料', '碟', '深', '一点']",性价比,26,0.0,48891,1
A26,2020-02-17,非常方便快捷，推荐给朋友们，服务很好。从自力村到立园有免费接驳车，但班次不多，请大家把握好时间。**是世界文化遗产，是中西文化结合的产物，非常值得一游。如果不请导游，可以扫码听讲解，这样会效率比较高。**中最有代表性的是自力村，如果时间有余建议别的也兼顾。立园是私家园林，精妙非常，非常棒，不可错过。,3.0,0.328900009393692,"走, 高, 性价比, 免费, 太, 坐, 建议, 观音, 开车, 感觉","['方便快捷', '推荐', '朋友', '服务', '自力', '村', '立园', '免费', '接驳', '车', '班次', '请', '把握', '世界', '文化遗产', '中西文化', '产物', '值得', '请', '导游', '扫码', '听', '讲解', '效率', '高', '中', '代表性', '自力', '村', '有余', '建议', '兼顾', '立园', '私家园林', '精妙', '棒', '错过']",性价比,26,4.0,48892,5
A26,2020-05-07,历史，文化和建筑艺术的高度融合，建筑大多为民国时期兴建，中国传统文化与西方文化的碰撞。走在乡间的小路上，感受着百年建筑带来的厚重，感受着现代人的质朴。觉得值得！,0.0,0.3255000114440918,"值得, 适合, 环境, 干净, 休闲, 公园, 空气清新, 瀑布, 水, 很漂亮","['历史', '文化', '建筑', '艺术', '高度', '融合', '建筑', '民国时期', '兴建', '中国', '传统', '文化', '西方', '文化', '碰撞', '走', '乡间', '路上', '感受', '百年', '建筑', '带来', '厚重', '感受', '现代人', '质朴', '值得']",卫生,26,1.0,48893,2
A26,2020-03-27,马降龙**群坐落于百合镇潭江边，背靠百足山，竹林，蕉林，杨桃林跟古村落以及**群，别墅完美的结合在一起，不愧是联合国教科文组织眼中的世界最美村落。**最具有代表性的**之一天禄楼就坐落于此，由29户集资合建而成，为保障村民的生命财产做出了许多贡献。优美的环境，古朴的**群，漂亮的别墅，让人心驰神往！,0.0,0.2978000044822693,"值得, 适合, 环境, 干净, 休闲, 公园, 空气清新, 瀑布, 水, 很漂亮","['马降龙', '群', '坐落于', '百合', '镇潭', '江边', '背靠', '百足', '山', '竹林', '蕉林', '杨桃', '林', '古村落', '群', '别墅', '完美', '不愧', '联合国教科文组织', '眼中', '世界', '最美', '村落', '代表性', '天禄', '楼', '坐落于', '户', '集资合建', '成', '保障', '村民', '生命财产', '做出', '贡献', '优美', '环境', '古朴', '群', '漂亮', '别墅', '心驰神往']",卫生,26,3.0,48894,5
A26,2020-11-28,**值得一去 究竟看多少 个人拙见如下——自立村不容错过 唯一一个开阔视野能看到**“群”的 马降龙等**群的**合体大同小异 却再没一个可以一眼多**的如果有时间 立园可以顺便一看 不过是绝对没有**那么精彩的 ps如果可能 建议自驾 时间从容的多,11.0,0.3555000126361847,"景色, 美, 感觉, 山上, 值得, 中, 优美, 拍, 交通, 少","['值得', '拙见', '自立', '村', '容错过', '唯一', '开阔视野', '群', '马降龙', '群', '合体', '大同小异', '却再', '一眼', '立园', '顺便', '精彩', '建议', '自驾', '从容']",位置,26,3.0,48895,5
A26,2020-06-03,到达**的时候刚下完一场大雨，这里经过大雨的洗礼，空气变得特别清新，一片绿油油，环境特别适合居住，景色特别棒，游客不是特别多，走到哪都很舒服，相当于居家散步同时了解了解当代人方润文的故居。,0.0,0.2922999858856201,"值得, 适合, 环境, 干净, 休闲, 公园, 空气清新, 瀑布, 水, 很漂亮","['到达', '刚下', '一场', '大雨', '大雨', '洗礼', '空气', '变得', '特别', '清新', '绿油油', '环境', '特别', '适合', '居住', '景色', '特别', '棒', '游客', '特别', '走到', '舒服', '相当于', '居家', '散步', '当代人', '方润文', '故居']",卫生,26,4.0,48896,5
A26,2020-12-25,**分布较分散，大致在立园、自力村、马降龙村等地。**多建于20世纪二三十年代，是当地侨胞为保护家乡亲人的生命财产安全而兴建。其造型精美、风格各异、内涵丰富，楼内有着完整的家具和生活用品。,11.0,0.3118000030517578,"景色, 美, 感觉, 山上, 值得, 中, 优美, 拍, 交通, 少","['分布', '分散', '立园', '自力', '村', '马降龙', '村', '建于', '世纪', '二三十', '年代', '侨胞', '保护', '家乡', '亲人', '生命财产', '兴建', '造型', '精美', '风格各异', '内涵', '楼', '完整', '家具', '生活用品']",位置,26,3.0,48897,5
A26,2020-07-01,广东**太有特色了，非常好看。体现了当地人民的智慧和建筑特色。距离广东2个多小时的路程，有几个村落都有**建筑。自力村、马降龙、立园等。各有特色，非常值得一看。推荐！,1.0,0.5346999764442444,"风景, 表演, 值得, 一般般, 位于, 晚上, 好看, 建筑, 美丽, 大自然","['广东', '太', '特色', '好看', '体现', '智慧', '建筑', '特色', '距离', '广东', '路程', '几个', '村落', '建筑', '自力', '村', '马降龙', '立园', '各有特色', '值得一看', '推荐']",服务,26,4.0,48898,5
