酒店名称,评论日期,评论内容,入住房型,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,酒店编号,emotional_value,index,情感等级
H24,2020-01-01,带父母出行，游玩方便，对面就是世界之窗，锦绣园，离欢乐海岸也不远，吃饭逛街都便利。周末在房间就可以看世界之窗的烟火表演,高级客房,2.0,0.5285000205039978,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['父母', '出行', '游玩', '对面', '世界之窗', '锦绣', '园', '欢乐', '海岸', '不远', '吃饭', '逛街', '便利', '周末', '房间', '就可以看', '世界之窗', '烟火', '表演']",位置,24,2.0,12598,4
H24,2020-01-01,**在深圳算比较老的酒店了，环境总体还可以，窗外环境较差，成片的老居民楼离得很近。,高级客房,5.0,0.4887000024318695,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['深圳', '算', '环境', '总体', '窗外', '环境', '较差', '成片', '居民楼']",性价比,24,1.5,12599,3
H24,2020-01-01,位置很好，对面就是世界之窗，周末还有烟火表演，在房间吹着空调就可以看了。房间还是比较干净的，早餐丰富,高级客房,5.0,0.3980000019073486,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['位置', '对面', '世界之窗', '周末', '烟火', '表演', '房间', '吹', '空调', '就可以看', '房间', '干净', '早餐']",性价比,24,1.5,12600,3
H24,2020-01-01,前台应该多点笑容。其他还好,世界之窗景观超豪华客房,0.0,0.5630000233650208,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['多点', '笑容', '还好']",服务,24,1.5,12601,3
H24,2020-01-01,老五星，设施不错，前台较以前一般，价格合适，忍了,高级客房,5.0,0.8769999742507935,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['五星', '设施', '不错', '价格', '合适', '忍']",性价比,24,1.0,12602,2
H24,2020-01-01,非常感谢！酒店干净！交通方便！服务特别优秀！锻炼身体设施非常好！非常满意！,高级大床房,1.0,0.5116000175476074,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['非常感谢', '干净', '交通', '服务', '特别', '优秀', '锻炼身体', '设施', '满意']",卫生,24,3.0,12603,5
H24,2020-01-01,非常好！交通方便！早餐非常好！服务特别优秀！环境很好！,高级大床房,5.0,0.8773000240325928,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['交通', '早餐', '服务', '特别', '优秀', '环境']",性价比,24,2.0,12604,4
H24,2020-01-01,希望客人叫的外卖能好好处理，不要让客人自己下去拿外卖,高级客房,6.0,0.4968999922275543,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['希望', '客人', '外卖', '好好', '客人', '外卖']",设施,24,1.0,12605,2
H24,2020-01-02,其实没必要定景观大房，定个什么高级套房，一样可以看到世界之窗的远景，仅仅是世界之窗4个字而已。所谓的景观房比高级房大而已，价格贵了近两百，没必要。,世界之窗景观超豪华客房,4.0,0.3495999872684479,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['景观', '房', '定个', '高级', '套房', '世界之窗', '远景', '世界之窗', '字', '景观', '房比', '高级', '房大', '价格', '贵', '两百']",设施,24,2.0,12606,4
H24,2020-01-02,环境非常好,高级客房,5.0,0.5713000297546387,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高",['环境'],性价比,24,1.5,12607,3
